id;имя;категория;плотность;статТрение;динТрение;упругость;Cd;r;g;b;metallic;smoothness
woods_metal;Сплав Вуда;Alloy;9700;0.45;0.38;0.3;0.95;185;190;196;1;0.7
babbitt;Баббит;Alloy;7400;0.45;0.38;0.35;0.95;181;186;192;1;0.65
constantan;Константан;Alloy;8900;0.5;0.42;0.4;0.95;168;143;114;1;0.6
manganin;Манганин;Alloy;8500;0.5;0.42;0.4;0.95;162;154;140;1;0.6
titanium_vt6;Титановый сплав ВТ6;Alloy;4430;0.5;0.42;0.5;0.92;152;160;170;1;0.72
magnesium_az91;Магниевый сплав AZ91;Alloy;1810;0.42;0.36;0.42;0.92;180;184;190;1;0.6
zamak;Цинковый сплав Zamak;Alloy;6700;0.45;0.38;0.42;0.95;174;180;188;1;0.7
hss_r6m5;Быстрорез Р6М5;Alloy;8140;0.55;0.46;0.5;0.95;139;146;154;1;0.8
inconel;Суперсплав Inconel;Alloy;8440;0.55;0.46;0.45;0.95;142;148;136;1;0.7
permalloy;Пермаллой;Alloy;8600;0.5;0.42;0.45;0.95;154;162;172;1;0.75
electrum;Электрум;Alloy;15000;0.45;0.38;0.45;0.9;224;207;138;1;0.9
wood_oak;Дуб;Wood;750;0.5;0.42;0.4;1.1;156;122;74;0;0.3
wood_pine;Сосна;Wood;520;0.45;0.38;0.4;1.1;200;160;106;0;0.3
wood_birch;Берёза;Wood;670;0.45;0.38;0.4;1.1;217;195;154;0;0.3
wood_beech;Бук;Wood;700;0.48;0.4;0.4;1.1;185;141;95;0;0.32
wood_ash;Ясень;Wood;680;0.48;0.4;0.4;1.1;201;173;126;0;0.3
wood_mahogany;Красное дерево;Wood;780;0.5;0.42;0.4;1.1;125;74;46;0;0.35
plywood;Фанера;Wood;550;0.45;0.38;0.35;1.15;193;154;98;0;0.25
mdf;МДФ;Wood;750;0.45;0.38;0.3;1.15;169;130;90;0;0.25
chipboard;ДСП;Wood;650;0.5;0.42;0.3;1.15;176;139;94;0;0.2
bamboo;Бамбук;Wood;700;0.48;0.4;0.42;1.1;203;181;119;0;0.35
cork;Пробка;Wood;240;0.55;0.48;0.3;1.4;200;168;120;0;0.1
wood_aspen;Осина;Wood;480;0.45;0.38;0.4;1.1;214;189;143;0;0.28
paper_office;Офисная бумага;Paper;800;0.38;0.3;0.15;1.8;242;239;230;0;0.05
paper_news;Газетная бумага;Paper;450;0.35;0.28;0.12;1.8;216;211;196;0;0.05
paper_kraft;Крафт-бумага;Paper;700;0.4;0.32;0.15;1.75;181;138;90;0;0.05
cardboard_corrugated;Гофрокартон;Paper;150;0.45;0.38;0.2;1.75;200;168;112;0;0.05
paper_whatman;Ватман;Paper;250;0.38;0.3;0.15;1.8;244;241;232;0;0.08
paper_parchment;Пергамент;Paper;650;0.4;0.32;0.15;1.75;229;217;184;0;0.12
cardboard_dense;Картон плотный;Paper;680;0.45;0.38;0.2;1.7;191;160;106;0;0.05
paper_napkin;Салфеточная бумага;Paper;100;0.32;0.26;0.1;1.85;246;243;234;0;0
plastic_abs;Пластик ABS;Plastic;1050;0.38;0.3;0.4;1.2;216;216;216;0;0.5
plastic_pla;Пластик PLA;Plastic;1240;0.38;0.3;0.4;1.2;207;227;210;0;0.6
hdpe;Полиэтилен ПНД;Plastic;940;0.3;0.24;0.35;1.2;224;224;218;0;0.4
polypropylene;Полипропилен;Plastic;910;0.3;0.24;0.35;1.2;220;220;212;0;0.45
polycarbonate;Поликарбонат;Plastic;1200;0.35;0.28;0.5;1.15;200;216;224;0;0.9
pvc;ПВХ;Plastic;1380;0.38;0.3;0.35;1.2;184;188;184;0;0.55
ptfe;Тефлон (ПТФЭ);Plastic;2200;0.08;0.06;0.2;1.2;232;232;228;0;0.25
nylon_pa6;Нейлон PA6;Plastic;1140;0.32;0.26;0.4;1.2;226;221;207;0;0.5
acrylic_pmma;Акрил (ПММА);Plastic;1190;0.35;0.28;0.5;1.15;220;232;236;0;0.95
foam_eps;Пенопласт ППС;Plastic;25;0.4;0.34;0.3;1.5;244;244;242;0;0.15
foam_pu;Пенополиуретан;Plastic;60;0.45;0.38;0.45;1.5;216;207;196;0;0.2
epoxy;Эпоксидная смола;Plastic;1150;0.4;0.32;0.35;1.15;201;185;138;0;0.8
rubber_natural;Натуральный каучук;Rubber;930;1;0.85;0.85;1.3;60;60;64;0;0.2
rubber_technical;Техническая резина;Rubber;1300;1.05;0.9;0.85;1.3;46;46;50;0;0.18
silicone;Силикон;Rubber;1150;0.8;0.7;0.6;1.3;216;210;204;0;0.25
neoprene;Неопрен;Rubber;1240;0.95;0.8;0.7;1.3;56;56;60;0;0.2
rubber_pu;Полиуретановая резина;Rubber;1100;0.9;0.78;0.7;1.3;122;106;88;0;0.3
ebonite;Эбонит;Rubber;1150;0.8;0.68;0.3;1.25;38;38;42;0;0.3
glass_sheet;Листовое стекло;Glass;2500;0.3;0.25;0.6;1;207;228;234;0;0.95
glass_tempered;Закалённое стекло;Glass;2500;0.3;0.25;0.6;1;196;222;232;0;0.95
glass_quartz;Кварцевое стекло;Glass;2200;0.3;0.25;0.55;1;216;236;240;0;0.95
crystal;Хрусталь;Glass;2900;0.3;0.25;0.6;1;210;230;238;0;0.98
glass_frosted;Матовое стекло;Glass;2500;0.32;0.26;0.5;1;220;235;238;0;0.6
porcelain;Фарфор;Ceramic;2400;0.5;0.42;0.4;1;240;237;230;0;0.6
ceramic_tile;Керамическая плитка;Ceramic;2000;0.55;0.45;0.35;1;207;214;210;0;0.55
fireclay;Шамот;Ceramic;1900;0.6;0.5;0.25;1;181;154;128;0;0.3
sanitary_ware;Санфаянс;Ceramic;2300;0.5;0.42;0.35;1;242;240;234;0;0.65
ceramic_alumina;Техническая керамика Al2O3;Ceramic;3900;0.55;0.46;0.3;1;232;228;220;0;0.5
granite;Гранит;Stone;2700;0.7;0.6;0.3;1;141;141;143;0;0.3
marble;Мрамор;Stone;2700;0.65;0.55;0.3;1;228;226;220;0;0.45
concrete;Бетон;Stone;2400;0.75;0.65;0.2;1;154;154;150;0;0.15
reinforced_concrete;Железобетон;Stone;2500;0.75;0.65;0.2;1;143;144;148;0;0.15
brick;Кирпич;Stone;1800;0.75;0.65;0.25;1;169;87;60;0;0.12
gypsum;Гипс;Stone;1200;0.55;0.46;0.15;1.05;232;228;218;0;0.15
sandstone;Песчаник;Stone;2300;0.7;0.6;0.2;1;201;171;122;0;0.1
limestone;Известняк;Stone;2500;0.7;0.6;0.2;1;210;204;186;0;0.12
asphalt;Асфальт;Stone;2300;0.8;0.7;0.1;1;74;74;76;0;0.1
claydite_concrete;Керамзитобетон;Stone;1200;0.7;0.6;0.2;1.05;168;164;156;0;0.12
fabric_cotton;Хлопок;Fabric;350;0.6;0.5;0.3;1.6;224;216;200;0;0
fabric_wool;Шерсть;Fabric;250;0.65;0.55;0.3;1.65;176;152;136;0;0
leather;Кожа;Fabric;900;0.6;0.5;0.3;1.5;122;90;60;0;0.25
felt;Войлок;Fabric;200;0.65;0.55;0.25;1.65;200;184;168;0;0
canvas;Парусина;Fabric;500;0.6;0.5;0.25;1.7;192;178;148;0;0
silk;Шёлк;Fabric;150;0.5;0.4;0.3;1.7;232;226;210;0;0.3
ice;Лёд;Other;917;0.08;0.05;0.3;1;207;234;244;0;0.85
snow;Снег;Other;200;0.3;0.25;0.1;1.5;242;246;248;0;0.1
paraffin_wax;Парафин;Other;900;0.3;0.25;0.2;1.1;240;230;208;0;0.3
salt;Соль поваренная;Other;2160;0.5;0.42;0.2;1.2;242;240;234;0;0.15
sugar;Сахар;Other;1600;0.5;0.42;0.2;1.2;244;240;228;0;0.1
soil;Грунт;Other;1500;0.7;0.6;0.1;1.2;107;85;64;0;0
sand_dry;Песок сухой;Other;1600;0.6;0.5;0.1;1.2;212;188;132;0;0
clay;Глина;Other;1700;0.5;0.42;0.05;1.1;150;112;90;0;0.1
graphite;Графит;Other;2250;0.15;0.12;0.2;1;58;58;60;0;0.5
diamond;Алмаз;Other;3500;0.2;0.16;0.5;1;226;242;244;0;0.95
carbon_fiber;Углепластик;Composite;1600;0.4;0.34;0.4;1.1;44;44;48;0.1;0.6
fiberglass;Стеклопластик;Composite;1900;0.45;0.38;0.4;1.1;200;210;184;0;0.5
foam_concrete;Пенобетон;Composite;600;0.7;0.6;0.2;1.4;194;194;190;0;0.1
mineral_wool;Минеральная вата;Composite;100;0.6;0.5;0.2;1.7;216;200;144;0;0
mica;Слюда;Other;2800;0.35;0.3;0.25;1;184;180;172;0;0.45
asbestos;Асбест;Other;2500;0.55;0.46;0.15;1.5;194;190;178;0;0.1
sponge;Губка;Other;30;0.5;0.42;0.5;1.7;232;200;128;0;0
